 id x y
241 241 132.0153238 43.1266785
242 242 132.0158776 43.1226992
243 243 132.0136071 43.1232339
244 244 132.0120482 43.1245282
245 245 132.0105289 43.1261984
246 246 132.0023549 43.1221818
247 247 131.9885172 43.1161374
248 248 131.9917549 43.1129221
249 249 131.991363 43.1120033
250 250 131.9888631 43.1103937
251 251 131.9860517 43.1094513
252 252 131.9842558 43.1077846
253 253 131.9820625 43.1048588
254 254 131.9060092 43.1155552
255 255 131.8928973 43.112707
256 256 131.8939429 43.1125952
257 257 131.8959201 43.1128551
258 258 131.89896 43.1133333
259 259 131.8854436 43.1143364
260 260 131.8882956 43.1138016
261 261 131.8999089 43.1134984
262 262 131.9200178 43.1002212
263 263 131.9160548 43.1006396
264 264 131.9164702 43.1018472
265 265 131.9201996 43.0999241
266 266 131.9201489 43.1001663
267 267 131.9158557 43.1006638
268 268 131.9196537 43.1002857
269 269 131.8914844 43.1129921
270 270 131.8931289 43.1126715
271 271 131.9003429 43.1164885
272 272 131.9381261 43.1091156
273 273 131.9138243 43.0934545
274 274 131.9144504 43.0953491
275 275 131.9140099 43.0977053
276 276 131.9023331 43.1030198
277 277 131.9282821 43.1233504
278 278 131.929079 43.123128
279 279 131.9261201 43.1222987
280 280 131.9248076 43.1226024
281 281 131.89995 43.0992389
282 282 131.8778702 43.1125367
283 283 131.876609 43.108896
284 284 131.8762327 43.1078669
285 285 131.8738628 43.1054206
286 286 131.8743671 43.105595
287 287 131.8771389 43.1104229
288 288 131.8631331 43.0988242
289 289 131.8934903 43.1142832
290 290 131.8889083 43.1250123
291 291 131.8905514 43.1256696
292 292 131.8916145 43.1269315
293 293 131.8922276 43.1276919
294 294 131.8931268 43.126484
295 295 131.8910586 43.1262654
296 296 131.8929588 43.1267841
297 297 131.9164811 43.1710569
298 298 131.9176732 43.1751386
299 299 131.9094806 43.1428126
300 300 131.9121481 43.1319248
301 301 131.8924676 43.1144757
302 302 131.8623357 43.0930304
303 303 131.8613814 43.0919524
304 304 131.8595006 43.089197
305 305 131.8630157 43.0936396
306 306 131.8607257 43.0906409
307 307 131.8626424 43.0948341
308 308 131.8585611 43.0874803
309 309 131.8585694 43.0868419
310 310 131.871662 43.1044486
311 311 131.8647947 43.0998044
312 312 131.8774414 43.1066727
313 313 131.874323 43.1053582
314 314 131.8758836 43.1058297
315 315 131.9190882 43.1123032
316 316 131.9202316 43.1122745
317 317 131.9197051 43.1120025
318 318 131.9195746 43.1104986
319 319 131.919613 43.1109413
320 320 131.9425558 43.1062504
321 321 131.9418183 43.1067674
322 322 131.9562042 43.1004342
323 323 131.9617992 43.0998135
324 324 131.9659639 43.0998018
325 325 131.9666079 43.0980944
326 326 131.9665247 43.0993953
327 327 131.9668873 43.0986362
328 328 131.8835108 43.1193164
329 329 131.8860101 43.1196547
330 330 131.8868393 43.1198153
331 331 131.8922235 43.1300495
332 332 131.8898409 43.1301951
333 333 131.8884757 43.1303021
334 334 131.9139004 43.1236139
335 335 131.8914132 43.0984724
336 336 131.8880203 43.0959627
337 337 131.8835237 43.0926215
338 338 131.884986 43.0909042
339 339 131.8881574 43.0927428
340 340 131.8837829 43.0902202
341 341 131.8860652 43.0921904
342 342 131.887451 43.0926137
343 343 131.8884307 43.0921942
344 344 131.8921378 43.1128331
345 345 131.8924323 43.1139186
346 346 131.9144554 43.1007804
347 347 131.9134912 43.1006669
348 348 131.9133485 43.1007688
349 349 131.9128992 43.1023422
350 350 131.9129636 43.1018356
351 351 131.9149272 43.1007756
352 352 131.9161065 43.100747
353 353 131.9162386 43.1009665
354 354 131.9162987 43.1010435
355 355 131.9169295 43.1017319
356 356 131.9362943 43.1039954
357 357 131.8796627 43.1181603
358 358 131.8782469 43.1184321
359 359 131.9160201 43.0942072
360 360 131.9186869 43.0931731
361 361 131.9175463 43.0923257
362 362 131.9100109 43.089118
363 363 131.9081548 43.088139
364 364 131.90765 43.0869584
365 365 131.9139041 43.0981283
366 366 131.91381 43.0986917
367 367 131.9133847 43.0986545
368 368 131.913805 43.0986436
369 369 131.9135738 43.0985205
370 370 131.9135308 43.0988227
371 371 131.9462701 43.1042736
372 372 131.9464194 43.1045242
373 373 131.9457956 43.1044054
374 374 131.9393487 43.110338
375 375 131.9394964 43.1097765
376 376 131.9403149 43.1090125
377 377 131.9390231 43.110035
378 378 131.9421587 43.1073314
379 379 131.9465525 43.1053468
380 380 131.9429627 43.1272521
381 381 131.9478759 43.1264335
382 382 131.9496429 43.1263278
383 383 131.9557221 43.1256941
384 384 131.9568633 43.1252003
385 385 131.956191 43.1255466
386 386 131.9366905 43.110833
387 387 131.8998935 43.1143933
388 388 131.9399068 43.102936
389 389 131.955954 43.0969955
390 390 131.9667434 43.0989808
391 391 131.9622624 43.0891247
392 392 131.9126848 43.1022482
393 393 131.9102797 43.1029696
394 394 131.8638909 43.0993551
395 395 131.8851271 43.1144402
396 396 131.88438 43.1135733
397 397 131.8838732 43.1134222
398 398 131.8960893 43.1133797
399 399 131.8879552 43.1243489
400 400 131.8850556 43.123591
401 401 131.8807673 43.1111484
402 402 131.8759544 43.107081
403 403 131.8915658 43.1235153
404 404 131.9291534 43.1231068
405 405 131.9304783 43.1227063
406 406 131.9311653 43.1224907
407 407 131.9352707 43.110557
408 408 131.9111534 43.1271244
409 409 131.9106545 43.1274546
410 410 131.9396441 43.1264986
411 411 131.9423843 43.1273202
412 412 131.9407451 43.1280844
413 413 131.9406039 43.128536
414 414 131.9411992 43.1274207
415 415 131.9364506 43.1127373
416 416 131.9293377 43.1178205
417 417 131.9298244 43.1371964
418 418 131.9160946 43.1680341
419 419 131.9112037 43.1668569
420 420 131.9105772 43.1669547
421 421 131.9092288 43.1666979
422 422 131.9077355 43.1663241
423 423 131.8991992 43.1200596
424 424 131.899332 43.1205664
425 425 131.8996353 43.1208384
426 426 131.8999209 43.1210838
427 427 131.9003026 43.1212396
428 428 131.9150451 43.1320954
429 429 131.9088975 43.1414901
430 430 131.9057359 43.1476083
431 431 131.9056013 43.1470447
432 432 131.9140839 43.1650048
433 433 131.9107016 43.1551417
434 434 131.907901 43.142943
435 435 131.9110182 43.1557636
436 436 131.9111814 43.1556516
437 437 131.913316 43.1638101
438 438 131.9154166 43.1682949
439 439 131.9199683 43.180057
440 440 131.9190358 43.1802291
441 441 131.9207955 43.1804195
442 442 131.91641 43.1754626
443 443 131.9159031 43.1755563
444 444 131.9149174 43.1756834
445 445 131.9139599 43.1758272
446 446 131.9152936 43.1679297
447 447 131.9136082 43.1558105
448 448 131.9156009 43.155428
449 449 131.9162026 43.155345
450 450 131.9192251 43.1557603
451 451 131.9199211 43.1559022
452 452 131.9230148 43.156493
453 453 131.9129196 43.1552424
454 454 131.9123275 43.1553066
455 455 131.9114028 43.1559484
456 456 131.9106313 43.1560212
457 457 131.9106984 43.1553928
458 458 131.9070738 43.1441805
459 459 131.9072938 43.1442994
460 460 131.907525 43.1443746
461 461 131.9095698 43.1440122
462 462 131.9101586 43.143773
463 463 131.9122248 43.1443758
464 464 131.9134118 43.1446405
465 465 131.9147588 43.1420092
466 466 131.9150187 43.1414398
467 467 131.9152627 43.1410644
468 468 131.915369 43.1409698
469 469 131.9105145 43.1270666
470 470 131.9106441 43.1266621
471 471 131.9246226 43.1134228
472 472 131.9246063 43.1126399
473 473 131.8880516 43.1146956
474 474 131.8870762 43.1148887
475 475 131.8896518 43.1143702
476 476 131.8899328 43.1143158
477 477 131.8881939 43.1307228
478 478 131.8808634 43.1263985
479 479 131.8786092 43.1241959
480 480 131.8776823 43.1240556
481 481 131.876808 43.1242158
482 482 131.9258962 43.1006848
483 483 131.8619369 43.0955159
484 484 131.8653604 43.0973648
485 485 131.8666025 43.0982505
486 486 131.8675679 43.0993847
487 487 131.8664825 43.0980469
488 488 131.8676746 43.0995033
489 489 131.8699332 43.100901
490 490 131.8694 43.1015968
491 491 131.9359726 43.1143566
492 492 131.9338472 43.1142436
493 493 131.9335592 43.1142449
494 494 131.9324512 43.1141243
495 495 131.9289481 43.1138884
496 496 131.9295055 43.11252
497 497 131.9392465 43.1119956
498 498 131.9395845 43.1122665
499 499 131.9403552 43.1132346
500 500 131.9422747 43.1160646
501 501 131.9434856 43.1176845
502 502 131.9437555 43.1187687
503 503 131.9445494 43.1205832
504 504 131.9543788 43.1236388
505 505 131.9553058 43.124273
506 506 131.9413042 43.1126954
507 507 131.9478942 43.1105307
508 508 131.9490312 43.1095868
509 509 131.9496729 43.1096497
510 510 131.9505248 43.109934
511 511 131.9520494 43.1106245
512 512 131.9524532 43.1110662
513 513 131.9535643 43.1130233
514 514 131.9459874 43.1137582
515 515 131.9467113 43.1131669
516 516 131.9495391 43.1121114
517 517 131.9504835 43.1123848
518 518 131.951491 43.1128006
519 519 131.9524165 43.1131855
520 520 131.9527543 43.1132391
521 521 131.9396499 43.1162388
522 522 131.9410879 43.1189659
523 523 131.9409676 43.1186718
524 524 131.9084965 43.1164672
525 525 131.909065 43.1163233
526 526 131.9100307 43.1160776
527 527 131.9117588 43.1156365
528 528 131.912151 43.1155168
529 529 131.8874248 43.1178188
530 530 131.8876064 43.1183798
531 531 131.8893392 43.1190417
532 532 131.88946 43.1193084
533 533 131.8821067 43.1107573
534 534 131.8813584 43.1095337
535 535 131.8808965 43.1088192
536 536 131.8906995 43.115328
537 537 131.8929395 43.1158053
538 538 131.8915857 43.1156308
539 539 131.8916223 43.1153733
540 540 131.9081738 43.1143164
541 541 131.9088297 43.1139597
542 542 131.9095792 43.113552
543 543 131.9099648 43.1133424
544 544 131.9108327 43.1128699
545 545 131.9156416 43.1116165
546 546 131.9145483 43.1130261
547 547 131.919125 43.1133882
548 548 131.9191451 43.1139775
